region_name,f0_
ILE-DE-FRANCE,34.32098823739058
NOUVELLE-AQUITAINE,33.425738934992971
BRETAGNE,32.416730841261533
GRAND EST,33.7095935991874
OCCITANIE,33.391927876045465
HAUTS-DE-FRANCE,34.301155564792822
AUVERGNE-RHONE-ALPES,33.293443342870262
PROVENCE-ALPES-COTE D'AZUR,33.22958502265702
CENTRE-VAL DE LOIRE,33.815762576523994
PAYS DE LA LOIRE,33.841146989835678
MARTINIQUE,31.743451327433615
NORMANDIE,33.5583615496798
BOURGOGNE-FRANCHE-COMTE,33.707067669172943
LA REUNION,34.312482078853073
CORSE,33.329141727837332
GUADELOUPE,33.08462715105162
GUYANE,32.598104575163411
MAYOTTE,28.019722222222228
